First Name|Last Name|Club|Position|Base Salary|Total Compensation
Nicolas|Czornomaz|LAFC|M|67500|71250
Mike|da Fonte|Colorado Rapids|D|67500|67500
Leonardo|Da Silva|Houston Dynamo|D|157505|165171
Ibson|da Silva|Minnesota United|M|300000|317083
Pierre|Da Silva|Orlando City SC|M|54504|54504
Aidan|Daniels|Toronto FC|M|54500|54500
Abu|Danladi|Minnesota United|F|135000|186000
Alphonso|Davies|Vancouver Whitecaps|M|72500|72500
Sean|Davis|New York Red Bulls|M|225000|261667
Marcel|de Jong|Vancouver Whitecaps|D-M|150000|164500
Michael|de Leeuw|Chicago Fire|F|525000|589213
Artur|de Lima|Columbus Crew|M|210000|244167
Christian|Dean|Chicago Fire|D|90000|93125
Nicolas|Del Grecco|Chicago Fire|D|90000|91125
AJ|DeLaGarza|Houston Dynamo|D|200000|207500
Jordy|Delem|Seattle Sounders FC|M|67500|67500
Nick|DeLeon|DC United|M|275000|275000
Julio|Cascante|Portland Timbers|D|150000|150000
Cristian|Casseres|New York Red Bulls|M|70000|108750
Valentin|Castellanos|New York City FC|M|150000|181008
Edgar|Castillo|Colorado Rapids|D|99996|129996
Darwin|Ceren|Houston Dynamo|M|225000|274375
Anibal|Chala|FC Dallas|D|300000|383000
Maxime|Chanot|New York City FC|D|375000|408000
Jay|Chapman|Toronto FC|M|99000|117500
Diego|Chara|Portland Timbers|M|550000|572000
Felix|Chenkam|Seattle Sounders FC|F|54500|54500
David|Choiniere|Montreal Impact|M|67500|67500
Mathieu|Choiniere|Montreal Impact|M|54500|59441
Michael|Ciani|LA Galaxy|D|600000|620000
Ricardo|Clark|Columbus Crew|M|125000|125000
Steve|Clark|Portland Timbers|GK|120000|130000
Stefan|Cleveland|Chicago Fire|GK|55654|55654
Ashley|Cole|LA Galaxy|D|450000|722500
Elliot|Collier|Chicago Fire|F|54500|54500
Aurelien|Collin|New York Red Bulls|D|450000|450000
Cristian|Colman|FC Dallas|F|500000|585000
Josue|Colman|Orlando City SC|M|150000|150000
Kip|Colvey|Colorado Rapids|D|67500|67500
Simon|Colyn|Vancouver Whitecaps|M|54500|60750
Tomas|Conechny|Portland Timbers|M-F|150000|166667
Drew|Conner|Chicago Fire|M|68907|68907
Will|Bruin|Seattle Sounders FC|F|350000|351667
Teal|Bunbury|New England Revolution|F|215000|260000
Marc|Burch|Minnesota United|D|140004|140004
Cory|Burke|Philadelphia Union|F|67500|71224
Evan|Bush|Montreal Impact|GK|157925|157925
Gianluca|Busio|Sporting Kansas City|F|80004|82504
Handwalla|Bwana|Seattle Sounders FC|M|54500|54500
Brandon|Bye|New England Revolution|D|54500|57761
Juan|Cabezas|Houston Dynamo|M|255156|279156
Victor|Cabrera|Montreal Impact|D|270000|270000
Luis Alberto|Caicedo|New England Revolution|M|300000|300000
Scott|Caldwell|New England Revolution|M|129375|139375
Jeff|Caldwell|New York City FC|GK|54500|54500
Alexander|Callens|New York City FC|D|500000|564000
Caleb|Calvert|Colorado Rapids|F|105000|105000
Eric|Calvillo|San Jose Earthquakes|M|100000|115000
Francisco|Calvo|Minnesota United|D|450000|522600
Rudy|Camacho|Montreal Impact|D|650000|699153
Jonathan|Campbell|Chicago Fire|D|120175|128300
Diego|Campos|Chicago Fire|M|54500|54500
Reggie|Cannon|FC Dallas|D|67500|67500
Jordan|Cano|FC Dallas|D|54500|54500
Russell|Canouse|DC United|M|247500|247500
Andrew|Carleton|Atlanta United|F|75000|87400
Servando|Carrasco|LA Galaxy|M|67500|67500
Johan|Blomberg|Colorado Rapids|M|239808|239808
Anthony|Blondell|Vancouver Whitecaps|F|250000|295203
Emmanuel|Boateng|LA Galaxy|F|130000|130000
Yannick|Boli|Colorado Rapids|F|775000|907500
Alex|Bono|Toronto FC|GK|132000|164000
Michael|Boxall|Minnesota United|D|250008|267341
Michael|Bradley|Toronto FC|M|6000000|6500000
Shaft|Brewer|LAFC|M|54500|56167
Frederic|Brillant|DC United|D|265000|300000
Brandt|Bronico|Chicago Fire|M|68254|68254
Calle|Brown|Seattle Sounders FC|GK|67500|67500
Jason|Beaulieu|Montreal Impact|GK|54500|54500
Kyle|Beckerman|Real Salt Lake|M|505008|530008
Daniel|Bedoya|New York City FC|M|54500|54500
Alejandro|Bedoya|Philadelphia Union|M|1200000|1266250
Steven|Beitashour|LAFC|D|275000|298375
Louis|Beland-Goyette|Montreal Impact|M|54500|55750
George|Bello|Atlanta United|D|67500|71500
Kharlton|Belmar|Sporting Kansas City|F|68254|68254
Tony|Beltran|Real Salt Lake|D|230000|240950
Joe|Bendik|Orlando City SC|GK|180000|189083
Jo Inge|Berget|New York City FC|F|600000|816667
Matt|Bersano|San Jose Earthquakes|GK|68254|68254
Nick|Besler|Real Salt Lake|M|67500|67500
Matt|Besler|Sporting Kansas City|D|750000|783250
Myer|Bevan|Vancouver Whitecaps|F|54500|54500
Vincent|Bezecourt|New York Red Bulls|M|67500|69921
David|Bingham|LA Galaxy|GK|275000|275000
Eric|Bird|Houston Dynamo|M|67500|67500
Steven|Birnbaum|DC United|D|500004|525004
Tristan|Blackmon|LAFC|D|67500|70234
Andre|Blake|Philadelphia Union|GK|450000|500000
Sebastian|Blanco|Portland Timbers|M|1300008|1375008
Latif|Blessing|LAFC|F|75000|84375
Hugo|Arellano|LA Galaxy|D|75000|82574
Luis|Argudo|Columbus Crew|M|54500|54500
Samuel|Armenteros|Portland Timbers|F|600000|608333
Paul|Arriola|DC United|M|625000|664000
Yamil|Asad|DC United|M|436364|520523
Carlos|Ascues|Orlando City SC|D|360000|391500
Dairon|Asprilla|Portland Timbers|F-M|180000|193750
Jeff|Attinella|Portland Timbers|GK|115000|124000
Francis|Atuahene|FC Dallas|F|125000|169000
Eduard|Atuesta|LAFC|M|450000|468000
|Auro|Toronto FC|D|200004|272504
Kwame|Awuah|New York City FC|D-M|55654|55654
Michael|Azira|Montreal Impact|M|125000|131625
Dominique|Badji|FC Dallas|F|162500|168750
Corey|Baird|Real Salt Lake|F|54504|54504
Jon|Bakero|Toronto FC|F|85000|101375
Michael|Baldisimo|Vancouver Whitecaps|M|54500|116472
Ezequiel|Barco|Atlanta United|M|1425000|1425000
Jack|Barmby|Portland Timbers|M|68256|68256
Giles|Barnes|Colorado Rapids|F-M|200000|200000
Michael|Barrios|FC Dallas|M|400000|400000
Shawn|Barry|Real Salt Lake|D|131250|131250
Cole|Bassett|Colorado Rapids|M|60000|69000
DaMarcus|Beasley|Houston Dynamo|D|275004|275004
Jose|Aja|Vancouver Whitecaps|D|240000|240000
Jacob|Akanyirige|San Jose Earthquakes|D|54500|56500
Ager|Aketxe Barrutia|Toronto FC|M|1190000|1295000
Tesho|Akindele|FC Dallas|F-M|105000|122500
Ayo|Akinola|Toronto FC|F|54504|140504
Fatai|Alashe|FC Cincinnati|M|107993|124243
Romain|Alessandrini|LA Galaxy|M|1539996|1869996
Eric|Alexander|Houston Dynamo|M|260004|260004
Tony|Alfaro|Seattle Sounders FC|D|67500|67500
RJ|Allen|Orlando City SC|D|90000|90000
Jordan|Allen|Real Salt Lake|M|225000|225000
Miguel|Almiron|Atlanta United|M|1912500|2297000
Osvaldo|Alonso|Seattle Sounders FC|M|1100000|1141667
Jozy|Altidore|Toronto FC|F|5000000|5000000
Arturo|Alvarez|Houston Dynamo|M|150000|157500
Efrain|Alvarez|LA Galaxy|M|67500|72234
Fabinho|Alves Macedo|Philadelphia Union|D|153000|153000
Eloi|Amagat|New York City FC|M|240000|261250
Quincy|Amarikwa|Montreal Impact|F|275500|289167
Mikey|Ambrose|Atlanta United|D|68906|68906
Vytautas|Andriuskevicius|DC United|D|250000|271875
Isaac|Angking|New England Revolution|M|67500|72500
Jalil|Anibaba|New England Revolution|D|90000|90000
Pablo|Aranguiz|FC Dallas|M|400000|460000
Victor|Arboleda|Portland Timbers|F-M|54500|54500
Anatole|Abang|New York Red Bulls|F|68927|68927
Saad|Abdul-Salaam|New York City FC|D|106480|120230
Mohammed|Abu|Columbus Crew|M|175008|181258
Lalas|Abubakar|Columbus Crew|D|68250|75750
David|Accam|Philadelphia Union|F-M|1250000|1250000
Kellyn|Acosta|Colorado Rapids|M|280000|300000
Luciano|Acosta|DC United|F-M|550000|652000
Danilo|Acosta|Real Salt Lake|M|100000|100000
Mohammed|Adams|Chicago Fire|M|90000|125000
Tyler|Adams|New York Red Bulls|M|100000|146042
Fanendo|Adi|FC Cincinnati|F|1275000|1933333
Nana|Adjei-Boateng|Colorado Rapids|M|320004|361250
Francois|Affolter|San Jose Earthquakes|D|200000|232650
Harrison|Afful|Columbus Crew|D|288100|363800
Juan|Agudelo|New England Revolution|F|575000|602500
Abel|Aguilar|FC Dallas|M|272727|328127
|||||
