Club|Last Name|First Name|Pos|Base Salary|Compensation
RSL|Van Oekel|Matt|GK|96000|96000
ATL|Vazquez|Brandon|F|100008|120008
TOR|Vazquez|Victor|M|630000|700000
RSL|Velazco|Ricardo|F|65633.4|65633.4
MNUFC|Venegas|Johan|M|215000|227500
MNUFC|Venegas|Kevin|D|85000|88333.33
NYRB|Veron|Gonzalo|M-F|500000|500000
NYCFC|Villa|David|F|5610000|5610000
ATL|Villalba|Hector|F|663000|770750
LA|Villarreal|Jose|F|105000|105000
LA|Villarreal|Jaime|M|53004|53004
CHI|Vincent|Brandon|D|96250|118125
DC|Vincent|Rob|M-F|65633.4|65633.4
ATL|Walkes|Anton|D|53004|53004
NYCFC|Wallace|Rodney|M|220000.08|220000.08
HOU|Ward|Charlie|M|53004|53004
MNUFC|Warner|Collen|M|230004|230004
VAN|Waston|Kendall|D|350000|368125
NE|Watson|Je-Vaughn|D-M|150000|155666.67
COL|Watts|Jared|D-M|75000|75000
HOU|Wenger|Andrew|M|210000|210000
ATL|Wheeler-Omiunu|Andrew|M|53004|53004
NYCFC|White|Ethan|D|65000|65000
PHI|Wijnaldum|Giliano|D|65004|78337.33
ATL|Williams|Romario|F|65000|65000
CLB|Williams|Josh|D|110004|110004
COL|Williams|Mekeil|D|110000|115000
VAN|Williams|Sheanon|D|175000|184000
HOU|Willis|Joe|GK|106312.5|106312.5
RSL|Wingert|Chris|D|134004|145394
SEA|Wingo|Henry|D-M|53004|53004
SJ|Wondolowski|Chris|F|800000|800000
NE|Woodberry|London|D|69300|69300
DC|Worra|Travis|GK|65625|65625
NE|Wright|Brian|F|65000.04|83750.04
NYRB|Wright-Phillips|Bradley|F|1500000|1635000
SJ|Wynne|Marvell|D|245808|257058
PHI|Yaro|Joshua|D|130000|194000
ORL|Yotun|Yoshimar|M|549996|599996
SJ|Yueill|Jackson|M|124992|175992
LA|Zardes|Gyasi|F|577500|577500
TOR|Zavaleta|Eriq|D|102850|133450
POR|Zemanski|Ben|M|105000|109000
KC|Zendejas|Adrian|GK|53000|53000
DAL|Zimmerman|Walker|D|205000|205000
NYRB|Zizzo|Sal|D|110000|110000
KC|Zusi|Graham|M|725000|757102.27
