Club|First Name|Last Name|Position|Base Salary|Total Compensation
Houston Dynamo|Tyler|Deric|GK|67500|67500
Montreal Impact|Zakaria|Diallo|D|299250|343250
Philadelphia Union|Ilson|Dias|M|300000|327000
Sporting Kansas City|Eric|Dick|GK|54500.04|57949.58
Sporting Kansas City|Amer|Didic|D|55654.2|55654.2
New England Revolution|Claude|Dielna|D|780000|909861
LAFC|Adama|Diomande|F|849999.96|934999.96
Montreal Impact|Clement|Diop|GK|90000|97290
Philadelphia Union|Borek|Dockal|M|1714285.68|1714285.68
Vancouver Whitecaps|Roberto|Dominguez|D|54504|61465.66
Houston Dynamo|Conor|Donovan|D|54500.04|54500.04
LA Galaxy|Giovani|dos Santos|F|4250000|6000000
LA Galaxy|Jonathan|dos Santos|M|2000000.04|2000000.04
New York Red Bulls|Kyle|Duncan|D|54500.04|54500.04
Toronto FC|Julian|Dunn|D|54500.04|54500.04
DC United|Chris|Durkin|D-M|80000|89166.67
Montreal Impact|Chris|Duvall|D|150000|150000
Orlando City SC|Dom|Dwyer|F|1200000|1383333.33
Colorado Rapids|Andrew|Dykstra|GK|100008|107658.51
Portland Timbers|Jeremy|Ebobisse|F|140000|203000
Chicago Fire|Raheem|Edwards|F|55654.2|55654.2
Orlando City SC|Earl|Edwards|GK|68250|68250
Chicago Fire|Jorge|Corrales|D|67500|67500
Philadelphia Union|Warren|Creavalle|M|140000|153000
Montreal Impact|Maxime|Crepeau|GK|80000|84083.33
Columbus Crew|Alex|Crognale|D|95004|95004
Sporting Kansas City|Yohan|Croizet|M|650004|680004
Minnesota United|Sam|Cronin|M|141660|208761.33
New England Revolution|Cody|Cropper|GK|73828.13|73828.13
San Jose Earthquakes|Harold|Cummings|D|249996|300662.67
LAFC|Nicolas|Czornomaz|M|67500|71250
Colorado Rapids|Mike|da Fonte|D|67500|67500
Houston Dynamo|Leonardo|Da Silva|D|157504.5|165171.17
Minnesota United|Ibson|da Silva|M|300000|317083.33
Orlando City SC|Pierre|Da Silva|M|54504|54504
Toronto FC|Aidan|Daniels|M|54500.04|54500.04
Minnesota United|Abu|Danladi|F|135000|186000
Vancouver Whitecaps|Alphonso|Davies|M|72500|72500
New York Red Bulls|Sean|Davis|M|225000|261666.67
Vancouver Whitecaps|Marcel|de Jong|D-M|150000|164500
Chicago Fire|Michael|de Leeuw|F|525000|589212.5
Columbus Crew|Artur|de Lima|M|210000|244166.67
Chicago Fire|Christian|Dean|D|90000|93125
Chicago Fire|Nicolas|Del Grecco|D|90000|91125
Houston Dynamo|AJ|DeLaGarza|D|200000.04|207500.04
Seattle Sounders FC|Jordy|Delem|M|67500|67500
DC United|Nick|DeLeon|M|275000|275000
Portland Timbers|Julio|Cascante|D|150000|150000
New York Red Bulls|Cristian|Casseres|M|69999.96|108749.96
New York City FC|Valentin|Castellanos|M|150000|181008.07
Colorado Rapids|Edgar|Castillo|D|99996|129996
Houston Dynamo|Darwin|Ceren|M|225000|274375
FC Dallas|Anibal|Chala|D|300000|383000
New York City FC|Maxime|Chanot|D|375000|408000
Toronto FC|Jay|Chapman|M|99000|117500
Portland Timbers|Diego|Chara|M|550000|572000
Seattle Sounders FC|Felix|Chenkam|F|54500.04|54500.04
Montreal Impact|David|Choiniere|M|67500|67500
Montreal Impact|Mathieu|Choiniere|M|54500.04|59441.04
LA Galaxy|Michael|Ciani|D|600000|620000
Columbus Crew|Ricardo|Clark|M|125000.04|125000.04
Portland Timbers|Steve|Clark|GK|120000|130000
Chicago Fire|Stefan|Cleveland|GK|55654.2|55654.2
LA Galaxy|Ashley|Cole|D|450000|722499.98
Chicago Fire|Elliot|Collier|F|54500.04|54500.04
New York Red Bulls|Aurelien|Collin|D|450000|450000
FC Dallas|Cristian|Colman|F|500000.04|585000.04
Orlando City SC|Josue|Colman|M|150000|150000
Colorado Rapids|Kip|Colvey|D|67500|67500
Vancouver Whitecaps|Simon|Colyn|M|54499.92|60749.92
Portland Timbers|Tomas|Conechny|M-F|150000|166666.67
Chicago Fire|Drew|Conner|M|68907.3|68907.3
Seattle Sounders FC|Will|Bruin|F|350000|351666.67
New England Revolution|Teal|Bunbury|F|215000.04|260000.04
Minnesota United|Marc|Burch|D|140004|140004
Philadelphia Union|Cory|Burke|F|67500|71223.75
Montreal Impact|Evan|Bush|GK|157925|157925
Sporting Kansas City|Gianluca|Busio|F|80004|82504
Seattle Sounders FC|Handwalla|Bwana|M|54500.04|54500.04
New England Revolution|Brandon|Bye|D|54500.04|57760.82
Houston Dynamo|Juan|Cabezas|M|255156|279156
Montreal Impact|Victor|Cabrera|D|270000|270000
New England Revolution|Luis Alberto|Caicedo|M|300000|300000
New England Revolution|Scott|Caldwell|M|129375|139375
New York City FC|Jeff|Caldwell|GK|54500.04|54500.04
New York City FC|Alexander|Callens|D|500000.04|564000.04
Colorado Rapids|Caleb|Calvert|F|105000|105000
San Jose Earthquakes|Eric|Calvillo|M|99999.96|114999.96
Minnesota United|Francisco|Calvo|D|450000|522600
Montreal Impact|Rudy|Camacho|D|650000.04|699152.54
Chicago Fire|Jonathan|Campbell|D|120175|128300
Chicago Fire|Diego|Campos|M|54500.04|54500.04
FC Dallas|Reggie|Cannon|D|67500|67500
FC Dallas|Jordan|Cano|D|54500.04|54500.04
DC United|Russell|Canouse|M|247500|247500
Atlanta United|Andrew|Carleton|F|75000|87400
LA Galaxy|Servando|Carrasco|M|67500|67500
Colorado Rapids|Johan|Blomberg|M|239808|239808
Vancouver Whitecaps|Anthony|Blondell|F|249999.96|295203.21
LA Galaxy|Emmanuel|Boateng|F|130000|130000
Colorado Rapids|Yannick|Boli|F|774999.96|907499.96
Toronto FC|Alex|Bono|GK|132000|164000
Minnesota United|Michael|Boxall|D|250008|267341.33
Toronto FC|Michael|Bradley|M|6000000|6500000
LAFC|Shaft|Brewer|M|54500.04|56166.71
DC United|Frederic|Brillant|D|264999.96|299999.96
Chicago Fire|Brandt|Bronico|M|68254|68254
Seattle Sounders FC|Calle|Brown|GK|67500|67500
Montreal Impact|Jason|Beaulieu|GK|54500.04|54500.04
Real Salt Lake|Kyle|Beckerman|M|505008|530008
New York City FC|Daniel|Bedoya|M|54500.04|54500.04
Philadelphia Union|Alejandro|Bedoya|M|1200000|1266250
LAFC|Steven|Beitashour|D|275000.04|298375.04
Montreal Impact|Louis|Beland-Goyette|M|54500|55750
Atlanta United|George|Bello|D|67500|71500
Sporting Kansas City|Kharlton|Belmar|F|68254.2|68254.2
Real Salt Lake|Tony|Beltran|D|230000|240950
Orlando City SC|Joe|Bendik|GK|180000|189083.4
New York City FC|Jo Inge|Berget|F|600000|816666.67
San Jose Earthquakes|Matt|Bersano|GK|68254.2|68254.2
Real Salt Lake|Nick|Besler|M|67500|67500
Sporting Kansas City|Matt|Besler|D|750000|783250
Vancouver Whitecaps|Myer|Bevan|F|54500.04|54500.04
New York Red Bulls|Vincent|Bezecourt|M|67500|69921.4
LA Galaxy|David|Bingham|GK|275000.04|275000.04
Houston Dynamo|Eric|Bird|M|67500|67500
DC United|Steven|Birnbaum|D|500004|525004
LAFC|Tristan|Blackmon|D|67500|70233.92
Philadelphia Union|Andre|Blake|GK|450000|500000
Portland Timbers|Sebastian|Blanco|M|1300008|1375008
LAFC|Latif|Blessing|F|75000|84375
LA Galaxy|Hugo|Arellano|D|75000|82573.75
Columbus Crew|Luis|Argudo|M|54500.04|54500.04
Portland Timbers|Samuel|Armenteros|F|600000|608333.33
DC United|Paul|Arriola|M|624999.96|663999.96
DC United|Yamil|Asad|M|436363.56|520522.65
Orlando City SC|Carlos|Ascues|D|360000|391500
Portland Timbers|Dairon|Asprilla|F-M|180000|193750
Portland Timbers|Jeff|Attinella|GK|114999.96|123999.96
FC Dallas|Francis|Atuahene|F|124999.92|168999.92
LAFC|Eduard|Atuesta|M|450000|468000
Toronto FC||Auro|D|200004|272504
New York City FC|Kwame|Awuah|D-M|55654.2|55654.2
Montreal Impact|Michael|Azira|M|125000|131625
FC Dallas|Dominique|Badji|F|162500.04|168750.04
Real Salt Lake|Corey|Baird|F|54504|54504
Toronto FC|Jon|Bakero|F|84999.96|101374.96
Vancouver Whitecaps|Michael|Baldisimo|M|54500.04|116471.59
Atlanta United|Ezequiel|Barco|M|1425000|1425000
Portland Timbers|Jack|Barmby|M|68256|68256
Colorado Rapids|Giles|Barnes|F-M|200000.04|200000.04
FC Dallas|Michael|Barrios|M|400000.08|400000.08
Real Salt Lake|Shawn|Barry|D|131250|131250
Colorado Rapids|Cole|Bassett|M|60000|69000
Houston Dynamo|DaMarcus|Beasley|D|275004|275004
Vancouver Whitecaps|Jose|Aja|D|240000|240000
San Jose Earthquakes|Jacob|Akanyirige|D|54500.04|56500.04
Toronto FC|Ager|Aketxe Barrutia|M|1190000.04|1295000.04
FC Dallas|Tesho|Akindele|F-M|105000|122500
Toronto FC|Ayo|Akinola|F|54504|140504
FC Cincinnati|Fatai|Alashe|M|107992.5|124242.5
LA Galaxy|Romain|Alessandrini|M|1539996|1869996
Houston Dynamo|Eric|Alexander|M|260004|260004
Seattle Sounders FC|Tony|Alfaro|D|67500|67500
Orlando City SC|RJ|Allen|D|90000|90000
Real Salt Lake|Jordan|Allen|M|225000|225000
Atlanta United|Miguel|Almiron|M|1912500|2297000
Seattle Sounders FC|Osvaldo|Alonso|M|1100000.04|1141667.04
Toronto FC|Jozy|Altidore|F|5000000|5000000
Houston Dynamo|Arturo|Alvarez|M|150000|157500
LA Galaxy|Efrain|Alvarez|M|67500|72233.84
Philadelphia Union|Fabinho|Alves Macedo|D|153000|153000
New York City FC|Eloi|Amagat|M|240000|261250
Montreal Impact|Quincy|Amarikwa|F|275500|289166.67
Atlanta United|Mikey|Ambrose|D|68906.25|68906.25
DC United|Vytautas|Andriuskevicius|D|250000|271875
New England Revolution|Isaac|Angking|M|67500|72500
New England Revolution|Jalil|Anibaba|D|90000|90000
FC Dallas|Pablo|Aranguiz|M|399999.96|459999.96
Portland Timbers|Victor|Arboleda|F-M|54499.92|54499.92
New York Red Bulls|Anatole|Abang|F|68927|68927
New York City FC|Saad|Abdul-Salaam|D|106480|120230
Columbus Crew|Mohammed|Abu|M|175008|181258
Columbus Crew|Lalas|Abubakar|D|68250.04|75750.04
Philadelphia Union|David|Accam|F-M|1250000.04|1250000.04
Colorado Rapids|Kellyn|Acosta|M|280000|300000
DC United|Luciano|Acosta|F-M|550000|652000
Real Salt Lake|Danilo|Acosta|M|100000|100000
Chicago Fire|Mohammed|Adams|M|90000|125000
New York Red Bulls|Tyler|Adams|M|100000|146041.67
FC Cincinnati|Fanendo|Adi|F|1275000|1933333.33
Colorado Rapids|Nana|Adjei-Boateng|M|320004|361250
San Jose Earthquakes|Francois|Affolter|D|200000.04|232650.04
Columbus Crew|Harrison|Afful|D|288099.96|363799.96
New England Revolution|Juan|Agudelo|F|575000|602500
FC Dallas|Abel|Aguilar|M|272727.24|328127.24
